Accelerometer 1 (m/s^2),Microphone (V),Accelerometer 2 (m/s^2),Accelerometer 3 (m/s^2),Temperature (Celsius)
-19.495098,0.215169,10.48802,4.620355,27.797832
-18.94702,0.217799,12.261215,-1.859867,27.732063
-19.720777,0.233255,8.360185,-0.441311,27.863602
-19.462858,0.217799,8.747064,-0.054432,27.666293
-19.753017,0.218128,9.939941,-2.440186,27.764947
-20.365575,0.207276,9.520822,-3.181704,27.764947
-20.784694,0.196753,9.327383,-3.278423,27.896486
-21.493972,0.193136,9.649782,-0.312352,27.666293
-20.623495,0.193136,10.068901,-1.118349,27.764947
-21.687412,0.212209,11.261777,-1.795388,27.600524
-22.848048,0.218786,4.749315,-3.600823,27.732063
-22.719089,0.244436,6.071151,-6.663614,27.666293
-23.557326,0.257261,5.039474,-7.727531,27.929371
-23.944205,0.247724,3.459718,-4.37458,27.929371
-25.491721,0.267126,2.331321,0.654846,27.830717
-25.975319,0.270086,6.748189,-0.95715,27.896486
-26.555638,0.273703,7.876586,-7.372892,27.797832
-26.684597,0.281267,3.395238,-2.246746,27.732063
-26.555638,0.298696,2.137882,4.007797,27.863602
-27.103716,0.302971,2.84716,-1.086109,27.732063
-29.00587,0.318427,4.168996,-7.018253,27.732063
-29.908588,0.350325,6.49027,-6.663614,27.797832
-30.005308,0.374002,7.296268,-3.052744,27.830717
-31.230424,0.396034,6.038911,0.687086,27.797832
-32.068662,0.395377,2.7182,-3.020504,27.797832
-31.875222,0.394061,3.814357,-2.859305,27.666293
-32.71346,0.374002,6.877149,-0.82819,27.567639
-32.5845,0.34309,2.460281,0.364687,27.863602
-33.390498,0.332238,4.652595,4.942754,27.830717
-33.551697,0.309548,0.267967,5.684272,27.797832
-34.551134,0.285213,4.136756,-1.859867,27.50187
-35.292652,0.261536,10.971618,0.106767,27.797832
-36.09865,0.22043,7.683147,3.298519,27.633409
-37.613925,0.18327,9.262903,1.622043,27.732063
-38.419923,0.181955,7.392988,-4.052181,27.797832
-39.41936,0.166828,5.748752,-0.376831,27.567639
-40.128638,0.150714,5.942192,7.618667,27.666293
-41.740633,0.136245,5.361873,4.652595,27.699178
-44.867903,0.138876,4.878274,7.812107,27.797832
-46.383179,0.148413,2.75044,7.102828,27.633409
-48.446533,0.139863,5.458593,8.876024,27.534754
-49.38149,0.154661,5.136194,9.327383,27.666293
-50.703326,0.183928,0.848285,3.169559,27.666293
-50.993485,0.17209,1.202924,8.747064,27.830717
-50.542126,0.123749,8.360185,7.392988,27.633409
-51.831722,0.125064,4.942754,3.298519,27.633409
-52.541,0.144466,7.941066,2.492521,27.633409
-53.153558,0.190176,2.62148,-1.537468,27.797832
-53.927316,0.178666,5.587553,6.264591,27.567639
-53.669397,0.158278,6.909389,11.648656,27.732063
-54.120755,0.138876,5.458593,4.330196,27.830717
-53.346998,0.139534,10.45578,-0.086672,27.764947
-52.347561,0.122762,6.55475,6.45803,27.830717
-51.412604,0.098757,4.942754,12.486894,27.600524
-51.477083,0.09218,6.49027,10.036661,27.797832
-52.057402,0.107307,11.068338,0.751566,27.896486
-51.412604,0.104347,8.489145,4.040037,27.830717
-51.735003,0.06653,5.168434,8.779304,27.666293
-50.832285,0.061926,6.071151,6.973869,27.764947
-50.735566,0.099414,9.585302,4.330196,27.764947
-49.929568,0.107307,7.683147,1.589803,27.896486
-47.737255,0.107635,7.392988,2.94388,27.666293
-48.059654,0.107964,5.813232,9.778741,27.633409
-47.962934,0.118487,9.037223,8.618104,27.666293
-46.995737,0.11783,11.261777,0.042287,27.764947
-46.899017,0.102703,11.971056,-2.762585,27.764947
-45.802861,0.091522,7.135068,0.880525,27.666293
-45.770621,0.074093,8.521385,7.264028,27.633409
-44.609984,0.078697,11.261777,5.587553,27.732063
-43.868466,0.073435,10.45578,1.460844,27.732063
-43.417108,0.060282,8.102266,3.008359,27.764947
-42.063032,0.094153,6.65147,9.069463,27.797832
-43.062469,0.144795,7.360748,12.228975,27.633409
-41.353754,0.149399,8.134506,6.748189,27.830717
-40.902395,0.129997,8.392425,3.459718,27.666293
-41.095835,0.101387,3.943317,6.58699,27.764947
-39.967438,0.112897,7.038349,10.19786,27.797832
-39.25816,0.10928,9.488582,7.779867,27.699178
-36.614488,0.099414,9.520822,0.687086,27.699178
-37.356006,0.08067,9.520822,-0.086672,27.699178
-36.872407,0.092837,7.328508,3.717638,27.666293
-35.96969,0.091851,13.615291,5.232913,27.666293
-36.582248,0.079355,13.905451,2.234602,27.732063
-35.228172,0.088891,6.58699,-2.440186,27.699178
-36.324329,0.110924,8.908264,-0.570271,27.732063
-35.550571,0.130326,8.682584,0.364687,27.699178
-34.938013,0.130655,8.585865,-1.472988,27.863602
-36.388809,0.162553,11.422977,-1.086109,27.962256
-36.259849,0.202672,7.618667,-0.409071,27.797832
-37.968564,0.209249,6.780429,-2.117787,27.699178
-38.323203,0.204317,10.745939,-0.344591,27.863602
-38.387683,0.192149,6.49027,4.168996,27.896486
-39.000241,0.18919,10.810419,-1.569708,27.797832
-37.323766,0.162224,11.809856,-4.052181,27.699178
-37.033607,0.12638,10.45578,1.460844,27.699178
-35.453852,0.108293,7.941066,-3.278423,27.830717
-35.486091,0.10928,11.777616,-3.923222,27.764947
-35.099213,0.120132,7.715387,-1.472988,27.699178
-33.938576,0.112568,12.551374,-1.344029,27.830717
-34.615614,0.131312,5.329633,-4.342341,27.699178
-32.229861,0.182941,3.008359,-5.889856,27.699178
-30.843545,0.189518,8.005546,-3.149464,27.732063
-29.360509,0.18919,8.263465,-3.568583,27.863602
-27.780754,0.185901,9.262903,-2.085547,27.764947
-28.296593,0.200042,6.232351,1.783243,27.732063
-26.781317,0.211551,13.260652,-1.376269,27.633409
-27.297155,0.201686,9.778741,0.654846,27.699178
-26.587878,0.18919,4.942754,4.297956,27.830717
-26.297718,0.201686,11.809856,0.235727,27.797832
-24.750203,0.197082,12.583614,-2.472426,27.896486
-21.784131,0.191492,11.036098,-0.98939,27.732063
-21.236053,0.186888,11.487457,-2.053307,27.863602
-19.591818,0.188532,5.458593,-3.858742,27.863602
-18.62462,0.18919,13.873211,0.590366,27.764947
-16.915905,0.152688,11.229538,0.364687,27.699178
-15.787509,0.133286,12.132255,1.783243,27.732063
-15.33615,0.132299,14.614729,-0.98939,27.863602
-10.822563,0.139205,10.101141,0.977245,27.699178
-8.08217,0.141178,12.777054,1.041725,27.896486
-5.470737,0.130984,12.164495,-0.280112,27.863602
-4.148901,0.111582,11.519697,-1.956587,27.863602
-2.375706,0.110924,3.975557,-3.794262,27.830717
2.234602,0.097112,12.648094,-3.117224,27.830717
3.008359,0.092509,9.166183,-0.82819,27.797832
3.975557,0.077053,1.331884,1.589803,27.929371
4.362436,0.076724,7.715387,-2.536905,27.830717
5.361873,0.043181,4.974994,-3.600823,27.863602
8.005546,0.013914,6.71595,4.072277,27.633409
6.232351,-0.003844,6.135631,2.008922,27.797832
5.619792,-0.005817,6.748189,-2.827065,27.830717
5.329633,-0.041003,4.781555,0.525886,27.797832
4.491395,-0.04199,6.941629,7.199548,27.732063
5.136194,-0.048567,10.649219,5.555313,27.633409
4.007797,-0.086384,4.846035,3.201799,27.797832
5.652032,-0.124531,0.300207,0.300207,27.896486
5.103954,-0.132094,3.459718,1.106205,27.732063
3.459718,-0.148208,3.105079,4.297956,27.797832
2.331321,-0.147879,-0.98939,-2.085547,27.732063
4.007797,-0.165308,-2.601385,-3.826502,27.863602
9.553062,-0.182736,-1.215069,-3.375143,27.896486
13.615291,-0.185038,-5.922096,5.297393,27.764947
16.549124,-0.165308,-9.855365,12.035535,27.830717
18.967118,-0.128477,-7.856491,6.52251,27.699178
22.191109,-0.116309,-11.78976,8.489145,27.863602
25.157182,-0.131108,-16.142148,7.135068,27.764947
28.026535,-0.142288,-22.36445,5.942192,27.797832
32.249964,-0.137684,-19.978697,1.783243,27.797832
36.989233,-0.141959,-26.910277,-5.857616,27.732063
40.374425,-0.155442,-26.072039,4.555875,27.797832
41.567302,-0.18734,-19.817497,7.264028,27.830717
43.985297,-0.203454,-22.783569,2.8794,27.764947
48.563366,-0.231406,-23.879725,3.685398,27.732063
52.786797,-0.216608,-24.975882,2.008922,27.732063
55.91407,-0.187012,-21.461732,12.035535,27.764947
58.299825,-0.143604,-20.365575,4.910514,27.863602
62.168616,-0.140973,-24.105405,1.622043,27.764947
66.972366,-0.117296,-24.202124,12.680334,27.699178
71.647157,-0.099538,-32.358821,9.295143,27.699178
76.418668,-0.079479,-31.423863,8.070026,27.732063
80.835539,-0.066325,-25.104842,9.714262,27.764947
84.897772,-0.038701,-28.393312,14.646969,27.666293
88.444165,-0.050211,-32.229861,17.709761,27.666293
91.31352,-0.038701,-28.522272,17.548561,27.666293
95.375753,-0.030809,-27.780754,19.579676,27.633409
97.18119,-0.004173,-31.165944,22.610228,27.863602
97.47135,-0.000226,-29.973068,21.256152,27.600524
95.182314,0.026739,-26.942516,22.416789,27.600524
93.183437,0.045483,-27.780754,25.124942,27.600524
92.216239,0.062583,-31.198184,19.482956,27.567639
91.57144,0.060282,-29.03811,14.29233,27.666293
90.829921,0.053376,-25.81412,19.192797,27.468985
87.734887,0.048114,-21.590692,18.547999,27.633409
82.802176,0.024437,-23.363887,13.196172,27.534754
76.192988,0.024766,-18.91478,14.775928,27.699178
69.293642,0.021478,-16.400067,15.614166,27.633409
63.071334,0.012599,-18.431181,12.519134,27.732063
57.816226,0.032987,-15.40063,13.583051,27.50187
51.36824,0.049758,-14.884791,14.872648,27.699178
47.241529,0.074422,-14.078793,13.454092,27.732063
43.533938,0.096126,-18.141022,11.519697,27.666293
40.696824,0.106649,-21.493972,9.649782,27.732063
38.14987,0.134601,-14.755831,8.747064,27.666293
34.796918,0.142493,-17.850863,10.16562,27.567639
33.442841,0.16617,-24.266604,7.715387,27.666293
33.378362,0.173076,-19.011499,17.93544,27.567639
33.99092,0.188203,-21.074853,7.264028,27.764947
35.989795,0.184586,-18.334461,10.19786,27.699178
40.342185,0.185572,-13.176076,16.871523,27.830717
42.856899,0.174391,-15.851988,22.739188,27.633409
43.501698,0.163211,-17.528464,8.295705,27.600524
44.436655,0.154003,-20.526775,-1.05387,27.797832
44.855775,0.153016,-14.433432,0.300207,27.929371
45.371613,0.134601,-15.594069,-0.086672,27.797832
44.533375,0.132628,-17.496224,3.298519,27.699178
43.533938,0.138547,-13.433995,-11.144962,27.830717
41.535062,0.138876,-15.40063,-10.467924,27.764947
40.213225,0.129339,-12.176639,3.911077,27.896486
37.343872,0.105334,-16.948145,-0.473551,27.633409
32.927003,0.093495,-15.658549,3.556438,27.633409
29.509571,0.100072,-11.112722,-4.60026,27.732063
26.833658,0.079683,-10.306724,-2.182266,27.764947
24.222224,0.064557,-16.980385,7.779867,27.666293
22.255589,0.061597,-13.627435,-5.760897,27.830717
21.223912,0.032987,-11.918719,-5.631937,27.600524
22.932627,0.013914,-12.918157,-14.239993,27.896486
22.706948,0.001418,-6.147776,-11.467361,27.797832
21.93319,-0.006474,-16.754706,-8.726968,27.929371
22.545748,-0.027521,-13.498475,-19.624058,27.764947
24.480144,-0.058103,-15.33615,-6.728094,27.732063
27.188297,-0.065996,-10.951522,-2.536905,27.699178
29.76749,-0.076519,-8.920408,-2.633625,27.764947
32.475644,-0.10184,-12.144399,3.040599,27.600524
35.893076,-0.090659,-5.083858,0.461406,27.830717
38.27883,-0.096579,-7.018253,3.943317,27.797832
39.858586,-0.085069,-9.275047,0.816045,27.699178
40.438905,-0.090988,-17.754143,-4.890419,27.896486
41.567302,-0.110061,-15.078231,-2.150027,27.699178
42.244341,-0.097565,-18.237742,-1.827627,27.863602
41.373863,-0.082109,-22.557889,-1.666428,27.929371
40.793544,-0.100196,-22.17101,-9.694166,27.797832
42.66346,-0.143604,-22.848048,-8.501289,27.962256
43.888577,-0.172542,-21.332773,-0.570271,27.699178
43.114819,-0.195233,-21.429492,-1.344029,27.797832
43.308258,-0.197535,-18.592381,-5.954336,27.929371
42.3733,-0.198521,-22.13877,-12.015439,27.764947
40.793544,-0.183065,-14.594632,-11.69304,27.666293
39.149308,-0.18175,-11.112722,-5.051619,27.830717
38.14987,-0.19589,-13.014876,-12.337838,27.764947
38.859149,-0.184052,-15.11047,-16.948145,27.896486
38.536749,-0.183723,-10.338964,-18.463421,27.896486
37.698511,-0.173858,-3.665302,-15.23943,27.732063
37.795231,-0.19885,-10.532403,-14.433432,27.764947
36.795793,-0.210688,-16.819186,-21.977571,27.896486
35.570676,-0.241929,-10.016565,-24.137645,27.863602
33.700761,-0.263962,-12.241119,-21.526212,27.929371
30.412289,-0.266921,-5.180578,-18.8503,27.797832
28.993732,-0.277773,-2.956024,-17.625183,27.797832
29.122692,-0.269881,-4.922659,-20.236616,27.863602
25.608541,-0.282706,-4.793699,-26.555638,27.764947
23.158307,-0.285994,-5.212818,-23.009248,27.764947
20.450154,-0.30145,6.103391,-14.465672,27.896486
17.387362,-0.316248,3.169559,-12.499038,27.699178
16.033285,-0.325127,-7.372892,-13.691914,27.764947
12.035535,-0.321839,-2.246746,-18.012062,27.732063
8.714824,-0.302766,-2.827065,-14.433432,27.699178
5.007234,-0.2758,-0.473551,-6.534654,27.863602
0.364687,-0.257714,8.037786,-8.04993,27.699178
-3.987701,-0.260344,2.073402,-12.982636,27.764947
-6.244495,-0.276458,9.649782,-13.143836,27.830717
-6.728094,-0.267579,14.09889,-4.310101,27.830717
-9.404006,-0.255412,9.778741,-0.79595,27.962256
-11.402881,-0.254754,12.906013,-7.340652,27.863602
-13.691914,-0.23305,14.937128,-7.018253,27.830717
-15.078231,-0.222198,16.968243,-0.98939,27.699178
-16.593506,-0.207071,19.708636,-0.344591,27.797832
-18.495661,-0.19885,12.551374,-6.276735,28.06091
-17.560703,-0.193917,7.006109,-12.627997,27.797832
-16.303347,-0.198192,10.649219,-11.306161,27.797832
-15.851988,-0.185367,5.007234,-8.436809,27.764947
-15.755269,-0.178133,5.974431,-10.790323,27.830717
-15.723029,-0.204769,14.840408,-15.33615,27.962256
-15.529589,-0.237983,13.067213,-16.303347,27.764947
-15.594069,-0.266921,6.36131,-18.91478,27.732063
-16.400067,-0.302766,22.287829,-13.401755,27.830717
-16.948145,-0.320523,22.126629,-6.566894,27.830717
-16.109908,-0.344529,20.772553,-13.627435,27.699178
-14.981511,-0.349133,14.13113,-16.303347,27.732063
-14.820311,-0.373468,2.65372,-8.372329,27.666293
-14.143273,-0.35571,16.355684,-5.083858,27.764947
-12.273358,-0.345516,15.162807,-9.404006,27.600524
-11.72528,-0.340254,11.713136,-14.497912,27.633409
-12.241119,-0.345187,21.449591,-9.565206,27.666293
-12.241119,-0.350448,11.132818,-7.469612,27.732063
-10.338964,-0.357025,14.324569,-10.532403,27.863602
-8.372329,-0.357354,16.839283,-9.790885,27.830717
-5.857616,-0.368535,3.782117,-7.437372,27.732063
-4.56802,-0.378072,4.781555,-3.923222,27.863602
-2.246746,-0.389581,2.62148,-5.793137,27.732063
-0.215632,-0.387279,2.105642,-7.824251,27.699178
-0.76371,-0.374454,-3.568583,-6.115536,27.830717
-0.022192,-0.374125,-13.691914,-4.40682,27.797832
0.429166,-0.387937,-6.502415,-4.019941,27.962256
4.136756,-0.397802,-1.182829,-6.599134,27.863602
5.329633,-0.403722,-8.24337,-10.403444,27.699178
5.684272,-0.414574,-5.857616,-9.371767,27.797832
7.328508,-0.438579,4.652595,-6.921533,27.830717
7.102828,-0.441868,0.203487,-3.439623,27.764947
7.586427,-0.442526,-5.986576,-3.536343,27.764947
6.52251,-0.472451,2.428041,-0.98939,27.600524
6.264591,-0.481658,-3.633062,2.78268,27.699178
7.844347,-0.47837,-4.56802,4.007797,27.699178
8.102266,-0.490208,-7.98545,2.266841,27.797832
8.876024,-0.482316,-17.754143,-6.728094,27.99514
8.198986,-0.478041,-9.532966,-8.27561,27.929371
8.714824,-0.46423,-6.502415,-6.147776,27.863602
8.618104,-0.426083,-5.728657,-7.727531,27.797832
6.55475,-0.408326,-3.246184,-5.470737,27.666293
5.684272,-0.416218,-7.114973,-6.760334,27.929371
4.684835,-0.424768,-8.21113,-3.117224,27.732063
4.684835,-0.420164,-1.859867,3.717638,27.600524
4.297956,-0.422795,-10.306724,5.329633,27.534754
2.65372,-0.453378,-6.405695,3.524198,27.699178
2.202362,-0.476397,-6.792574,3.169559,27.699178
-0.118912,-0.472122,-7.98545,6.55475,27.797832
-2.182266,-0.463572,-5.954336,9.778741,27.600524
-5.470737,-0.45272,-1.408509,11.777616,27.699178
-6.534654,-0.406352,-1.569708,12.164495,27.699178
-6.437935,-0.357354,-6.824814,9.907701,27.699178
-6.276735,-0.306712,-3.149464,10.48802,27.600524
-6.276735,-0.259029,-4.37458,11.487457,27.50187
-7.534092,-0.231735,-4.019941,16.871523,27.50187
-6.857054,-0.197535,-2.150027,19.192797,27.534754
-7.759771,-0.169254,0.912765,17.032722,27.732063
-8.21113,-0.157415,1.041725,16.258964,27.764947
-6.921533,-0.136369,-6.180015,17.516321,27.764947
-6.566894,-0.133081,-0.92491,17.484081,27.534754
-4.60026,-0.128477,6.071151,17.580801,27.732063
-4.052181,-0.116309,-2.698105,15.098327,27.567639
-3.342903,-0.127819,3.588678,11.390737,27.764947
-3.181704,-0.118282,3.395238,15.001608,27.732063
-4.148901,-0.121571,-0.473551,16.968243,27.633409
-4.60026,-0.112692,5.200674,11.809856,27.732063
-6.470175,-0.104471,1.202924,8.166746,27.699178
-7.243933,-0.111377,1.944442,13.518572,27.863602
-7.727531,-0.110061,4.330196,15.001608,27.797832
-8.533529,-0.093619,-1.182829,12.680334,27.830717
-10.242244,-0.06468,2.266841,12.261215,27.600524
-11.467361,-0.032782,8.747064,14.389049,27.600524
-14.433432,0.014243,6.36131,15.356247,27.633409
-17.431744,0.018189,5.200674,14.03441,27.830717
-19.946457,0.025424,14.808168,8.940504,27.633409
-21.139333,0.043839,8.908264,7.747627,27.633409
-22.13877,0.056006,10.101141,8.231225,27.764947
-23.234927,0.074422,15.904325,7.650907,27.666293
-23.170447,0.075737,15.581926,7.554187,27.699178
-23.879725,0.103689,15.388487,7.521947,27.633409
-24.943642,0.121447,15.872085,4.233476,27.666293
-25.395001,0.147097,15.936565,6.296831,27.666293
-26.781317,0.164855,15.807606,4.910514,27.699178
-26.039799,0.158936,19.902075,0.300207,27.699178
-25.362761,0.136245,17.000483,0.945005,27.797832
-25.491721,0.124736,10.778179,-1.408509,27.830717
-23.911965,0.091193,14.19561,0.396927,27.699178
-23.718526,0.091851,17.226162,-1.763148,27.764947
-23.363887,0.097441,17.96768,-5.502977,27.863602
-24.782443,0.098757,20.095515,-4.729219,27.764947
-25.137082,0.061926,13.421852,-5.825376,27.732063
-25.427241,0.045812,13.808731,-3.955462,27.699178
-26.620117,0.024437,17.742001,-4.213381,27.863602
-26.233239,0.00931,14.16337,-4.858179,27.666293
-27.232676,0.007337,15.581926,-5.631937,27.797832
-26.233239,0.023122,17.290642,-7.082733,27.863602
-27.361635,0.009639,15.033848,-5.148338,27.699178
-29.19931,-0.001871,18.805918,-4.148901,27.764947
-30.230987,-0.008776,21.030472,-5.922096,27.732063
-30.585626,0.005035,14.646969,-9.661926,27.863602
-30.585626,-0.001542,19.998795,-10.467924,27.962256
-31.875222,-0.014367,23.416226,-8.888168,27.863602
-31.649543,-0.053171,14.03441,-5.051619,28.291103
-30.779065,-0.075861,16.291204,-6.244495,27.797832
-30.005308,-0.104471,22.320069,-10.983762,27.896486
-30.682346,-0.142617,17.580801,-10.822563,27.962256
-30.263227,-0.169254,18.967118,-11.370641,27.962256
-28.264353,-0.197206,17.80648,-7.920971,27.732063
-26.781317,-0.1903,17.80648,-11.144962,27.863602
-25.68516,-0.211346,21.449591,-14.594632,27.797832
-24.395564,-0.223185,17.226162,-11.338401,27.732063
-23.718526,-0.235023,18.741438,-11.59632,27.666293
-22.686849,-0.225487,16.871523,-0.441311,27.567639
-23.299407,-0.240942,14.646969,-7.888731,27.732063
-24.040925,-0.254096,19.063837,-13.562955,27.929371
-23.911965,-0.256727,17.677521,-2.343466,27.732063
-24.363324,-0.245546,13.873211,-4.69698,27.764947
-24.556763,-0.251466,17.355122,-9.081607,27.732063
-27.361635,-0.257056,18.225599,-14.530152,27.797832
-29.19931,-0.272841,10.907138,-13.498475,27.896486
-29.29603,-0.262975,16.645843,-7.308412,27.896486
-32.71346,-0.263304,18.03216,-13.143836,27.896486
-34.712334,-0.222856,11.874336,-11.241681,27.764947
-36.388809,-0.226802,13.228412,-8.21113,27.732063
-37.549445,-0.224171,9.037223,-6.115536,27.764947
-37.871844,-0.196877,9.391862,-3.697542,27.699178
-39.22592,-0.18175,14.09889,-4.181141,27.797832
-40.031918,-0.151496,10.713699,-0.086672,27.830717
-40.257597,-0.158073,8.231225,-0.441311,27.896486
-39.48384,-0.14755,8.005546,-4.342341,27.863602
-38.871281,-0.135054,11.519697,-5.760897,27.797832
-39.032481,-0.132423,11.874336,-6.308975,27.732063
-38.194243,-0.117296,7.521947,-3.342903,27.929371
-36.969127,-0.096907,9.133943,1.589803,27.764947
-36.388809,-0.053828,15.936565,-0.215632,27.699178
-35.744011,-0.043305,9.649782,1.073965,27.830717
-34.389935,-0.028178,7.908826,4.813795,27.666293
-32.52002,-0.004173,13.454092,6.038911,27.929371
-33.197058,0.016874,13.679771,3.943317,27.633409
-32.48778,0.065214,14.614729,1.041725,27.699178
-32.133141,0.06357,12.390175,2.557001,27.600524
-32.133141,0.115528,11.551937,4.330196,27.863602
-30.295467,0.163211,11.777616,2.363561,27.797832
-30.682346,0.18623,17.451841,1.493084,27.896486
-29.876348,0.226349,13.099453,4.491395,27.666293
-29.521709,0.232269,5.103954,4.910514,27.633409
-29.973068,0.282911,11.971056,4.588115,27.764947
-29.715148,0.295736,15.420727,8.940504,27.699178
-29.392749,0.310205,3.943317,4.297956,27.797832
-28.683471,0.307246,11.229538,5.297393,27.600524
-28.361072,0.297051,17.387362,4.620355,27.666293
-27.264916,0.290803,11.422977,1.589803,27.764947
-27.393875,0.268771,13.357372,2.68596,27.764947
-26.781317,0.266798,12.325695,-0.215632,27.699178
-26.039799,0.265811,8.134506,-2.182266,27.764947
-25.62068,0.287844,17.548561,1.622043,27.732063
